	0
157	http://www.worldportsource.com/ports/AUS_Port_of_Portland_709.php
158	http://www.worldportsource.com/ports/AUS_Port_of_Quintell_Beach_1520.php
159	http://www.worldportsource.com/ports/AUS_Port_of_Rapid_Bay_3305.php
160	http://www.worldportsource.com/ports/AUS_Port_of_Risdon_4364.php
161	http://www.worldportsource.com/ports/AUS_Port_of_Rockhampton_711.php
162	http://www.worldportsource.com/ports/AUS_Port_of_Skardon_River_1522.php
163	http://www.worldportsource.com/ports/AUS_Port_of_Smithton_1636.php
164	http://www.worldportsource.com/ports/AUS_Hythe_4360.php
165	http://www.worldportsource.com/ports/AUS_Port_of_Stanley_1635.php
166	http://www.worldportsource.com/ports/AUS_Port_of_Strahan_1634.php
167	http://www.worldportsource.com/ports/AUS_Port_of_Thevenard_682.php
168	http://www.worldportsource.com/ports/AUS_Port_of_Thursday_Island_1521.php
169	http://www.worldportsource.com/ports/AUS_Port_of_Townsville_712.php
170	http://www.worldportsource.com/ports/AUS_Port_of_Spring_Bay_1633.php
171	http://www.worldportsource.com/ports/AUS_Triabunna_Harbor_4363.php
172	http://www.worldportsource.com/ports/AUS_Urangan_Harbor_4365.php
173	http://www.worldportsource.com/ports/AUS_Useless_Loop_4366.php
174	http://www.worldportsource.com/ports/AUS_Port_of_Wallaroo_683.php
175	http://www.worldportsource.com/ports/AUS_Port_of_Weipa_1523.php
176	http://www.worldportsource.com/ports/AUS_Port_of_Whitemark_1639.php
177	http://www.worldportsource.com/ports/AUS_Port_of_Whyalla_3306.php
178	http://www.worldportsource.com/ports/AUS_Wollongong_Harbor_5477.php
179	http://www.worldportsource.com/ports/AUS_Port_of_Wyndham_3303.php
180	http://www.worldportsource.com/ports/AUS_Port_of_Yamba_713.php
181	http://www.worldportsource.com/ports/BHS_Port_of_Clifton_Point_1323.php
182	http://www.worldportsource.com/ports/BHS_Port_of_Matthew_Town_1324.php
183	http://www.worldportsource.com/ports/BHS_Port_of_Man_of_War_Bay_5650.php
184	http://www.worldportsource.com/ports/BHS_Marsh_Harbor_3895.php
185	http://www.worldportsource.com/ports/BHS_Port_of_Nassau_1321.php
186	http://www.worldportsource.com/ports/BHS_Port_of_Ocean_Cay_1325.php
187	http://www.worldportsource.com/ports/BHS_Port_of_South_Riding_Point_1322.php
188	http://www.worldportsource.com/ports/BHR_Port_of_Sitra_1596.php
189	http://www.worldportsource.com/ports/BGD_Port_of_Chalna_2104.php
190	http://www.worldportsource.com/ports/BGD_Port_of_Khulna_2105.php
191	http://www.worldportsource.com/ports/BGD_Port_of_Mongla_2103.php
192	http://www.worldportsource.com/ports/BRB_Port_of_Bridgetown_139.php
193	http://www.worldportsource.com/ports/BLR_Port_of_Mazyr_3888.php
194	http://www.worldportsource.com/ports/BEL_Port_of_Namur_4893.php
195	http://www.worldportsource.com/ports/BLZ_Port_of_Belize_801.php
196	http://www.worldportsource.com/ports/BMU_Port_of_Freeport_461.php
197	http://www.worldportsource.com/ports/BMU_Port_of_Hamilton_1857.php
198	http://www.worldportsource.com/ports/BMU_St_George_s_1858.php
199	http://www.worldportsource.com/ports/BOL_Puerto_Aguirre_2914.php
200	http://www.worldportsource.com/ports/BRA_Suape_Marine_Terminal_1332.php
201	http://www.worldportsource.com/ports/BRA_Port_of_Pecem_2115.php
202	http://www.worldportsource.com/ports/BRA_Port_of_Altamira_4851.php
203	http://www.worldportsource.com/ports/BRA_Port_of_Alumar_1333.php
204	http://www.worldportsource.com/ports/BRA_Port_of_Angra_dos_Reis_1330.php
205	http://www.worldportsource.com/ports/BRA_Port_of_Anori_5222.php
206	http://www.worldportsource.com/ports/BRA_Port_of_Antonina_2107.php
207	http://www.worldportsource.com/ports/BRA_Port_of_Aracaju_1334.php
208	http://www.worldportsource.com/ports/BRA_Port_of_Cabedelo_2109.php
209	http://www.worldportsource.com/ports/BRA_Dow_Quimica_Terminal_3554.php
210	http://www.worldportsource.com/ports/BRA_Port_of_Carmopolis_3949.php
211	http://www.worldportsource.com/ports/BRA_Port_of_Coari_5220.php
212	http://www.worldportsource.com/ports/BRA_Port_of_Codajas_5221.php
213	http://www.worldportsource.com/ports/BRA_Port_of_Corumba_3950.php
214	http://www.worldportsource.com/ports/BRA_Port_of_Forno_2110.php
215	http://www.worldportsource.com/ports/BRA_Port_of_Fortaleza_2111.php
216	http://www.worldportsource.com/ports/BRA_Port_of_Gebig_3553.php
217	http://www.worldportsource.com/ports/BRA_Guaiba_Island_Terminal_3547.php
218	http://www.worldportsource.com/ports/BRA_Guamare_Oil_Terminal_3951.php
219	http://www.worldportsource.com/ports/BRA_Port_of_Humaita_4853.php
220	http://www.worldportsource.com/ports/BRA_Port_of_Ilheus_75.php
221	http://www.worldportsource.com/ports/BRA_Port_of_Imbituba_1777.php
222	http://www.worldportsource.com/ports/BRA_Suape_Marine_Terminal_1332.php
223	http://www.worldportsource.com/ports/BRA_Sepetiba_Terminal_3963.php
224	http://www.worldportsource.com/ports/BRA_Port_of_Itaituba_1782.php
225	http://www.worldportsource.com/ports/BRA_Port_of_Itaqui_1825.php
226	http://www.worldportsource.com/ports/BRA_Port_of_Laguna_2112.php
227	http://www.worldportsource.com/ports/BRA_Port_of_Landaria_3952.php
228	http://www.worldportsource.com/ports/BRA_Port_of_Macapa_4935.php
229	http://www.worldportsource.com/ports/BRA_Port_of_Maceio_1826.php
230	http://www.worldportsource.com/ports/BRA_Port_of_Madre_de_Deus_3953.php
231	http://www.worldportsource.com/ports/BRA_Port_of_Manicore_4852.php
232	http://www.worldportsource.com/ports/BRA_Port_of_Maraba_2113.php
233	http://www.worldportsource.com/ports/BRA_Miramar_Oil_Terminal_3954.php
234	http://www.worldportsource.com/ports/BRA_Port_of_Miramar_1779.php
235	http://www.worldportsource.com/ports/BRA_Port_of_Mucuripe_3955.php
236	http://www.worldportsource.com/ports/BRA_Port_of_Munguba_3543.php
237	http://www.worldportsource.com/ports/BRA_Port_of_Natal_2114.php
238	http://www.worldportsource.com/ports/BRA_Port_of_Navegantes_3720.php
239	http://www.worldportsource.com/ports/BRA_Port_of_Obidos_1783.php
240	http://www.worldportsource.com/ports/BRA_Port_of_Pecem_2115.php
241	http://www.worldportsource.com/ports/BRA_Port_of_Pelotas_3544.php
242	http://www.worldportsource.com/ports/BRA_Port_of_Ponta_da_Madeira_3956.php
243	http://www.worldportsource.com/ports/BRA_Port_of_Ponta_Ubu_3541.php
244	http://www.worldportsource.com/ports/BRA_Porto_Agropecuaria_Norte_3957.php
245	http://www.worldportsource.com/ports/BRA_Port_of_Porto_Alegre_3549.php
246	http://www.worldportsource.com/ports/BRA_Porto_Murtinho_4859.php
247	http://www.worldportsource.com/ports/BRA_Porto_Peixinho_3958.php
248	http://www.worldportsource.com/ports/BRA_Port_of_Porto_Trombetas_3542.php
249	http://www.worldportsource.com/ports/BRA_Porto_Ilha_3959.php
250	http://www.worldportsource.com/ports/BRA_Port_of_Portocel_3550.php
251	http://www.worldportsource.com/ports/BRA_Port_of_Praia_Mole_3545.php
252	http://www.worldportsource.com/ports/BRA_Port_of_Regencia_3551.php
253	http://www.worldportsource.com/ports/BRA_Butadiene_Dock_Island_3948.php
254	http://www.worldportsource.com/ports/BRA_Port_of_Santa_Clara_3960.php
255	http://www.worldportsource.com/ports/BRA_Port_of_Santana_3548.php
256	http://www.worldportsource.com/ports/BRA_Port_of_Santarem_1781.php
257	http://www.worldportsource.com/ports/BRA_Alemoa_Terminal_3947.php
258	http://www.worldportsource.com/ports/BRA_Port_of_Sao_Cristovao_3961.php
259	http://www.worldportsource.com/ports/BRA_Port_of_Sao_Francisco_do_Sul_1784.php
